"id","area","feature","user_story","expected_behavior","source_refs","test_method","status","defect_type","defects","evidence","notes"
"LEA-002","League","Team roster drill-in","As a manager, I want to open another team's roster from standings so I can inspect potential trade targets.","Clicking a team row stores the team, requests /api/team/{team_id}/roster, and displays that roster with loading, error, empty, segment, and back states.","web/sandlot/v2-pages.jsx:V2TeamRoster; web/sandlot/v2-pages.jsx:V2TeamRow; sandlot_api.py:/api/team/{team_id}/roster","Playwright click through standings to team roster; API route contract test","specified","","","","Existing related test: tests/playwright/specs/league.spec.ts."
"LEA-003","League","Trade desk entry","As a manager, I want a League entry point into trade grading so I can evaluate offers while browsing teams.","The Trade desk card opens the hidden Trade page when Grade an offer is clicked.","web/sandlot/v2-pages.jsx:V2LeagueTradeDesk; web/sandlot/v2-pages.jsx:V2App","Playwright click from League to Trade page","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"ADD-001","Adds","Waiver board load states","As a manager, I want the Adds page to load ranked waiver swaps and clearly show loading, error, and no-positive-swap states.","Adds requests /api/waiver-swaps/latest on mount, renders loading and error states, and shows deterministic board copy with card count or API message.","web/sandlot/v2-pages.jsx:V2FreeAgents; web/sandlot/v2-pages.jsx:V2WaiverState; sandlot_api.py:/api/waiver-swaps/latest","Playwright route mock for loading, error, empty, and ready states","specified","","","","Existing related test: tests/playwright/specs/adds.spec.ts."
"ADD-002","Adds","Position filters","As a manager, I want to filter waiver cards by position so I can focus on a roster need.","Adds derives positions from card add positions and filled position, displays horizontal chips, and filters visible cards by selected token.","web/sandlot/v2-pages.jsx:V2FreeAgents; web/sandlot/v2-pages.jsx:v2WaiverPositions","Playwright card filter test with multi-position fixture","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"ADD-003","Adds","Waiver swap card evidence","As a manager, I want each waiver card to show add/drop players, delta, confidence, evidence, reason, risk, and dynasty note so I can judge a move.","Each waiver swap card renders rank, FP/G delta, confidence, add and move-out players, evidence chips, why/risk/dynasty rationale, and action buttons.","web/sandlot/v2-pages.jsx:V2WaiverSwapCard; web/sandlot/v2-pages.jsx:V2WaiverPlayer; web/sandlot/v2-pages.jsx:V2ReasonLine","Playwright ready-board fixture with assertions for card sections","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"ADD-004","Adds","Review swap opens add profile","As a manager, I want Review swap to open the add player's profile so I can inspect the free agent before acting.","The Review swap button calls onOpenPlayer with the add id; V2App routes through openPlayer, switches to Roster page state, and opens the player sheet.","web/sandlot/v2-pages.jsx:V2WaiverSwapCard; web/sandlot/v2-pages.jsx:V2App; web/sandlot/v2-pages.jsx:V2PlayerSheet","Playwright Adds card to player sheet test","specified","","","","Existing related test: tests/playwright/specs/adds.spec.ts."
"ADD-005","Adds","Roster player opens move-out profile","As a manager, I want the roster-player button to open the move-out player's profile so I can verify who I would drop.","The Roster player button calls onOpenPlayer with the move_out id when available and is disabled when that id is missing.","web/sandlot/v2-pages.jsx:V2WaiverSwapCard; web/sandlot/v2-pages.jsx:V2App","Playwright Adds card move-out button test","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"ADD-006","Adds","Continue waiver card in Skipper","As a manager, I want to send a waiver card into Skipper so I can ask follow-up questions with the card context already drafted.","Continue in Skipper builds a swap-specific prompt, stores it as skipperDraft, switches to Skipper, and fills the chat input from that draft id.","web/sandlot/v2-pages.jsx:V2WaiverSwapCard; web/sandlot/v2-pages.jsx:v2BuildSwapSkipperPrompt; web/sandlot/v2-pages.jsx:V2Skipper","Playwright Adds to Skipper draft flow","specified","","","","This is part of the critical path named in the loop doc."
"ADD-007","Adds","Skipper brief preview","As a manager, I want to see a short waiver brief on Adds when AI warmup succeeded so I can understand the board quickly.","If the waiver API returns brief.state ready, Adds displays the first two brief lines in a Skipper brief panel.","web/sandlot/v2-pages.jsx:V2FreeAgents; web/sandlot/v2-pages.jsx:v2BriefLines","Playwright waiver payload with ready brief","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"TRD-001","Trade","Trade player pickers","As a manager, I want separate pickers for players I give and players I get so I can model an offer.","The trade page filters playerIndex by source mine for You give and league for You get, supports search by player/team, excludes already selected players, and caps each side at five.","web/sandlot/v2-pages.jsx:V2TradeGrader; web/sandlot/v2-pages.jsx:V2PlayerPicker; sandlot_api.py:_player_index","Playwright picker search/add/remove test; unit test for player index","specified","","","","Existing related tests: tests/playwright/specs/trade.spec.ts and tests/test_sandlot_api_player_index.py."
"TRD-002","Trade","Trade readiness and submit","As a manager, I want trade grading to avoid accidental empty submissions so incomplete offers are not sent to the grader.","The trade page only submits when both arrays are non-empty and not loading; the handler returns early when not ready, then POSTs selected ids to /api/trades/grade when ready. Current V2Primary does not propagate the disabled prop, so visual disabled affordance is a Phase 2 UX check.","web/sandlot/v2-pages.jsx:V2TradeGrader; web/sandlot/v2-pages.jsx:V2Primary; sandlot_api.py:/api/trades/grade","Playwright readiness guard and visual affordance test plus API validation test","specified","","","","Existing related tests: tests/playwright/specs/trade.spec.ts and tests/test_sandlot_trades.py."
"TRD-003","Trade","Trade result card","As a manager, I want the trade grade result to summarize fairness, grade, deltas, rationale, and model/cache state so I can judge the offer.","A successful trade grade renders letter grade, fairness ring, your/their/age deltas, weakest position, rationale, cache/model metadata, and no-counter reason when present.","web/sandlot/v2-pages.jsx:V2TradeGradeCard; sandlot_api.py:/api/trades/grade","Playwright mocked grade response; backend unit tests for grade payload","specified","","","","Existing related test: tests/playwright/specs/trade.spec.ts."
"TRD-004","Trade","Trade counters","As a manager, I want suggested counters to expand for rationale so I can negotiate from the grade result.","Result counters render tier, acceptance band, get/give names, FP/G delta, and a collapsible rationale body.","web/sandlot/v2-pages.jsx:V2TradeCounterCard; web/sandlot/v2-pages.jsx:V2TradeGradeCard","Playwright mocked grade response with counters and expand click","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"SET-001","Settings","Sync status and refresh","As a manager, I want Settings to show sync health and let me refresh now so I can manage stale Fantrax data.","Settings displays healthy/failed sync state, snapshot counts, refresh now button, cookie-backed scraping warning, and app stack details.","web/sandlot/v2-pages.jsx:V2Settings; web/sandlot/v2-pages.jsx:V2App","Manual or Playwright state injection for hidden settings page","specified","","","","The Settings page exists in app state but no visible UI entry was found in V2TabBar or top bar."
"SET-002","Settings","Sign out","As a manager, I want Settings sign out to return me to the auth screen so I can exit the session.","The Sign out button calls onSignOut, which flips authed false and renders V2Auth.","web/sandlot/v2-pages.jsx:V2Settings; web/sandlot/v2-pages.jsx:V2App; web/sandlot/v2-pages.jsx:V2Auth","Manual or Playwright state injection for hidden settings page","specified","","","","The Settings page exists in app state but no visible UI entry was found in V2TabBar or top bar."
"PLY-001","Player Sheet","Open and close player sheet","As a manager, I want player detail to open as an overlay and close without losing my app context.","When detail id is set, V2PlayerSheet renders over the app, closes on backdrop or close button, and stops propagation inside the sheet.","web/sandlot/v2-pages.jsx:V2App; web/sandlot/v2-pages.jsx:V2PlayerSheet","Playwright open/close test from roster or Adds","specified","","","","Existing related test: tests/playwright/specs/player-sheet.spec.ts."
"PLY-002","Player Sheet","Player profile loading and error states","As a manager, I want player detail to show loading, errors, and retry so I understand profile fetch status.","The sheet requests /api/player/{fantrax_id}, shows skeleton while loading, shows error copy with retry when no data exists, and preserves data while surfacing later errors.","web/sandlot/v2-pages.jsx:V2PlayerSheet; web/sandlot/v2-pages.jsx:V2ProfileSkeleton; sandlot_api.py:/api/player/{fantrax_id}","Playwright route mocks for loading/error/retry; API route unit test if added","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"PLY-003","Player Sheet","Cached take polling","As a manager, I want the Skipper take to fill in when generation finishes so I do not need to close and reopen the player.","If profile_cache.take is missing or pending and no take text/error exists, the sheet polls /api/player/{id} up to 12 attempts until a take appears or generation stops.","web/sandlot/v2-pages.jsx:V2PlayerSheet; sandlot_api.py:/api/player/{fantrax_id}","Playwright mocked sequential player responses with fake timers if practical","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"PLY-004","Player Sheet","Manual player refresh","As a manager, I want to force a fresh MLB/profile pull for a player so stale detail can be updated on demand.","The Sync button POSTs /api/player/{id}/refresh, updates data, disables during sync and a cooldown, and surfaces errors without dropping existing data.","web/sandlot/v2-pages.jsx:V2PlayerSheet; sandlot_api.py:/api/player/{fantrax_id}/refresh","Playwright mocked POST plus disabled/cooldown assertions; API route test if added","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"PLY-005","Player Sheet","Player hero and Skipper take","As a manager, I want player detail to show ownership, position, age, status, photo, and Skipper take so I can contextualize the player quickly.","Profile hero displays player photo/avatar, name, team/position/age metadata, owner/source label, injury status, and take text/error/skeleton.","web/sandlot/v2-pages.jsx:V2ProfileBody; web/sandlot/v2-pages.jsx:V2ProfileHero","Playwright profile payload fixture and visual assertions","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"PLY-006","Player Sheet","Stats and game log expansion","As a manager, I want headline stats with expandable season and game-log detail so I can inspect recent production.","Profile stats compute hitting or pitching season aggregates, show L7/L30/headline stat, allow More stats expansion, and show sparkline plus recent game log.","web/sandlot/v2-pages.jsx:V2ProfileStats; web/sandlot/v2-pages.jsx:V2BarSparkline","Playwright expand More stats with hitter and pitcher fixtures; unit tests for stat math if added","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"PLY-007","Player Sheet","Clips viewer","As a manager, I want to open media clips from a player sheet so I can inspect highlights or related video.","Profile clips render media items or placeholders, and opening a clip shows V2ClipViewer with close behavior.","web/sandlot/v2-pages.jsx:V2ProfileClips; web/sandlot/v2-pages.jsx:V2ClipRow; web/sandlot/v2-pages.jsx:V2ClipViewer","Playwright click clip row and close viewer","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"SKP-001","Skipper","Options and model controls","As a manager, I want Skipper to expose available models and reasoning mode so I can choose how the assistant answers.","Skipper loads /api/skipper/options, normalizes defaults, updates model selector when options differ, and toggles reasoning unless a stream is active.","web/sandlot/v2-pages.jsx:V2Skipper; sandlot_api.py:/api/skipper/options","Playwright options route mock; unit test for skipper config","specified","","","","Existing related test: tests/test_sandlot_skipper_config.py."
"SKP-002","Skipper","Refresh brief card","As a manager, I want Skipper to show the latest waiver refresh brief so chat starts with current context.","On snapshot change, Skipper requests /api/waiver-swaps/latest, displays up to five brief lines when ready, and shows loading, missing, or error copy otherwise.","web/sandlot/v2-pages.jsx:V2Skipper; web/sandlot/v2-pages.jsx:V2SkipperRefreshBrief; sandlot_api.py:/api/waiver-swaps/latest","Playwright waiver brief states with route mocks","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"SKP-003","Skipper","Chat history load","As a manager, I want previous Skipper messages to load so I can keep context across sessions.","On mount, Skipper requests /api/skipper/messages, filters broken assistant replies, maps assistant role to ai, and renders history or an error.","web/sandlot/v2-pages.jsx:V2Skipper; sandlot_api.py:/api/skipper/messages GET","Playwright history route mock; API contract test","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"SKP-004","Skipper","Preset prompt chips","As a manager, I want one-tap prompt chips for common questions so I can get useful analysis quickly.","Skipper renders preset prompt chips; clicking a chip sends that prompt unless streaming is active.","web/sandlot/v2-pages.jsx:V2Skipper","Playwright click prompt chip and assert stream request body","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"SKP-005","Skipper","Send streaming message","As a manager, I want Skipper replies to stream into chat so I can see the answer as it is generated.","Sending non-empty input appends user and ai seed bubbles, POSTs /api/skipper/messages with model/reasoning fields, parses SSE data frames, appends token text, handles stream errors, and clears streaming state.","web/sandlot/v2-pages.jsx:V2Skipper; sandlot_api.py:/api/skipper/messages POST","Playwright SSE mock; API streaming contract test with TestClient","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"SKP-006","Skipper","Deep matchup card in chat","As a manager, I want deep matchup prompts to include a compact projection card so I can see score context inside the answer.","Prompts matching deep matchup intent tag the upcoming ai bubble with chart matchup; V2Bubble renders V2MatchupProjectionCard when matchup scores exist.","web/sandlot/v2-pages.jsx:V2Skipper; web/sandlot/v2-pages.jsx:V2Bubble; web/sandlot/v2-pages.jsx:V2MatchupProjectionCard","Playwright prompt chip or text with matchup fixture","specified","","","","Existing related tests: tests/test_sandlot_skipper_projection.py and tests/test_sandlot_projection_logging.py."
"SKP-007","Skipper","Player links in replies","As a manager, I want player names in Skipper replies to open player sheets so I can jump from advice to details.","Skipper builds a player name index, renders explicit [[name|id]] tags and fallback full-name matches as V2PlayerLink, and opens player detail through onOpenPlayer.","web/sandlot/v2-pages.jsx:V2Skipper; web/sandlot/v2-pages.jsx:V2PlayerLink; web/sandlot/v2-pages.jsx:v2RenderSkipperMarkdown","Playwright mocked assistant reply containing explicit and fallback player links","specified","","","","Related design doc: docs/superpowers/specs/2026-05-03-skipper-player-links-design.md."
"SKP-008","Skipper","Clear chat history","As a manager, I want to clear Skipper chat history so I can start over cleanly.","When messages exist and streaming is inactive, Clear DELETEs /api/skipper/messages, empties local messages, and clears local error state; errors are surfaced in chat.","web/sandlot/v2-pages.jsx:V2Skipper; sandlot_api.py:/api/skipper/messages DELETE","Playwright history + clear test; API contract test","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"SKP-009","Skipper","Web fallback for missing snapshot data","As a manager, I want Skipper to search public web sources only when snapshot data is missing so I can evaluate players absent from Fantrax data without confusing web facts with league facts.","Skipper options advertise web-search availability/default state; the UI hides the toggle when unavailable, sends web_search with messages, the backend attaches OpenRouter web_search only when allowed, captures URL citation annotations as first-class sources, and reports actual web-search usage separately from permission.","web/sandlot/v2-pages.jsx:V2Skipper; web/sandlot/v2-pages.jsx:V2WebSources; sandlot_api.py:/api/skipper/messages POST; sandlot_api.py:/api/skipper/options; sandlot_skipper.py:SkipperClient.stream","Unit tests for options/tool/source extraction plus Playwright toggle/source rendering test","passed","","","tests/test_sandlot_skipper_config.py and tests/playwright/specs/skipper-web-fallback.spec.ts passed locally on 2026-06-21.","External claude -p gate accepted; result captured in docs/quality/second-opinion/skipper-web-fallback-2026-06-21-result.md."
"API-001","API","Health endpoint","As an operator, I want /api/health to report database and snapshot freshness so deployments can be checked quickly.","The endpoint initializes schema, reports database status, latest successful snapshot timestamp/freshness, latest refresh run summary, and safe error text when checks fail.","sandlot_api.py:/api/health; sandlot_api.py:_freshness; sandlot_api.py:_run_summary","API request test against TestClient and Railway smoke","specified","","","","Existing related test: tests/test_sandlot_api_freshness.py."
"API-002","API","Latest snapshot contract","As the frontend, I want /api/snapshot/latest to return the normalized app snapshot so UI features share one payload contract.","The endpoint returns _snapshot_payload for the latest successful snapshot, including roster, standings, matchup projection/recommendations, data quality, player index, freshness, and errors.","sandlot_api.py:/api/snapshot/latest; sandlot_api.py:_snapshot_payload; sandlot_api.py:_player_index","API contract unit test for payload fields and no-snapshot 404","specified","","","","Existing related tests: tests/test_sandlot_data_quality.py and tests/test_sandlot_matchup.py."
"API-003","API","Attention Queue endpoint","As an external agent, I want /api/attention to return the same actionable queue as Today so automation can inspect needed actions.","The endpoint reads latest and previous snapshots, returns snapshot ids, freshness, attention items, and status changes; database/no-snapshot failures return 503.","sandlot_api.py:/api/attention; sandlot_attention.py; tests/playwright/specs/attention-api.spec.ts","API contract test locally and Railway deploy check","specified","","","","Existing related tests: tests/test_sandlot_attention.py and tests/playwright/specs/attention-api.spec.ts."
"API-004","API","Refresh endpoint","As an operator or UI, I want /api/refresh to run a manual scrape with safe fallback behavior so stale data can be updated.","The endpoint enforces optional refresh token, runs refresh, returns skipped fallback if another refresh is running, raises 502 with fallback details on failure, and schedules optional warmups on success.","sandlot_api.py:/api/refresh; sandlot_api.py:_require_refresh_token; tests/test_sandlot_projection_logging.py","API tests for token, skipped fallback, failed fallback, and success warmup behavior","specified","","","","Existing related coverage includes refresh fallback tests in tests/test_sandlot_projection_logging.py."
"API-005","API","Waiver swaps endpoint","As the Adds page and Skipper, I want /api/waiver-swaps/latest to return the latest waiver payload or a clear unavailable status.","The endpoint returns latest waiver payload, maps missing data to 404, and maps unexpected failures to 503 with logged exception.","sandlot_api.py:/api/waiver-swaps/latest; sandlot_waivers.py","API unit test for ready, missing, and failure paths; Playwright Adds tests","specified","","","","Existing related tests: tests/test_sandlot_waivers.py and tests/test_sandlot_waivers_warm_hash.py."
"API-006","API","Trade grade endpoint","As the Trade page, I want /api/trades/grade to validate offer sides and return a grade from the latest snapshot.","The endpoint requires 1-5 ids per side, returns 409 when no snapshot exists, maps domain grade errors to 400, and returns grade_offer results on success.","sandlot_api.py:/api/trades/grade; sandlot_trades.py","API unit tests for validation, no snapshot, domain error, and success","specified","","","","Existing related test: tests/test_sandlot_trades.py."
"API-007","API","Skipper chat endpoints","As Skipper, I want options, history, clear, and streaming send endpoints so chat can persist and answer from snapshot context.","The API exposes model options, persisted history, DELETE clear, and POST streaming SSE that persists user/assistant messages, uses deterministic replies when available, and falls back through model order.","sandlot_api.py:/api/skipper/options; sandlot_api.py:/api/skipper/messages GET/POST/DELETE; sandlot_skipper.py","API streaming/history tests with TestClient and mocked client; frontend SSE test","specified","","","","Existing related tests cover config and projection logging but not full SSE contract."
"API-008","API","Player profile endpoints","As the player sheet, I want player profile GET and refresh POST endpoints so player detail can load and update on demand.","GET returns player_service profile payload and schedules background refresh when cache or take is missing; POST forces refresh; not found maps to 404 and unexpected errors map to 500.","sandlot_api.py:/api/player/{fantrax_id}; sandlot_api.py:/api/player/{fantrax_id}/refresh; player_service.py","API route tests with mocked player_service; Playwright player-sheet tests","specified","","","","Phase 1 inventory only; not tested in this loop yet."
"API-009","API","Team roster endpoint","As the League page, I want /api/team/{team_id}/roster to return a team roster from the latest snapshot so I can inspect other teams.","The endpoint returns team roster rows and capacity metadata from all_team_rosters, with database 503, no-snapshot 404, and unknown-team 404 cases.","sandlot_api.py:/api/team/{team_id}/roster; web/sandlot/v2-pages.jsx:V2TeamRoster","API route contract test plus Playwright League drill-in test","specified","","","","Existing related test: tests/playwright/specs/league.spec.ts."
"API-010","API","Static shell no-store","As a user, I want the deployed root page to load the current JS bundle so I do not get stuck on a stale frontend.","The root endpoint reads index.html, replaces the app.js cache-bust token with a digest from the built bundle, and returns no-store headers; static files are served through NoCacheStaticFiles.","sandlot_api.py:/; sandlot_api.py:NoCacheStaticFiles; web/sandlot/index.html","API response header/body test; Railway smoke after deploy","specified","","","","Phase 1 inventory only; not tested in this loop yet."
